ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Support Vector Machine 95,Original Data,90.182%,90.258%,90.328%,91.043%,98.953%
Support Vector Machine 95,Normalized Data,87.273%,87.277%,87.298%,87.309%,97.294%
Support Vector Machine 95,SelectKBest,89.091%,89.133%,89.120%,89.189%,97.100%
Support Vector Machine 95,RFECV,89.091%,89.133%,89.120%,89.189%,97.035%
Support Vector Machine 95,PCA,90.182%,90.247%,90.250%,90.781%,94.066%
Support Vector Machine 90,Original Data,90.182%,90.258%,90.328%,91.043%,98.945%
Support Vector Machine 90,Normalized Data,87.273%,87.277%,87.298%,87.309%,97.294%
Support Vector Machine 90,SelectKBest,89.091%,89.133%,89.120%,89.189%,97.061%
Support Vector Machine 90,RFECV,89.091%,89.133%,89.120%,89.189%,97.043%
Support Vector Machine 90,PCA,88.727%,88.773%,88.762%,88.852%,97.959%
Support Vector Machine 99,Original Data,90.182%,90.258%,90.328%,91.043%,98.951%
Support Vector Machine 99,Normalized Data,87.273%,87.277%,87.298%,87.309%,97.331%
Support Vector Machine 99,SelectKBest,89.091%,89.133%,89.120%,89.189%,96.983%
Support Vector Machine 99,RFECV,89.091%,89.133%,89.120%,89.189%,97.009%
Support Vector Machine 99,PCA,90.546%,90.557%,90.551%,90.567%,97.068%
