ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Random Forest 90,SelectKBest,59.200%,58.937%,58.930%,58.952%,58.492%
Random Forest 90,RFECV,59.200%,58.937%,58.930%,58.952%,58.492%
Random Forest 95,SelectKBest,59.200%,58.937%,58.930%,58.952%,58.492%
Random Forest 95,RFECV,59.200%,58.937%,58.930%,58.952%,58.492%
Random Forest 99,SelectKBest,59.200%,58.937%,58.930%,58.952%,58.492%
Random Forest 99,RFECV,59.200%,58.937%,58.930%,58.952%,58.492%
Random Forest 90,PCA,58.400%,58.333%,58.415%,58.372%,63.330%
Support Vector Machine 90,PCA,56.800%,56.797%,57.038%,57.024%,56.807%
Random Forest 90,Original Data,56.800%,56.775%,56.922%,56.890%,56.073%
Random Forest 90,Normalized Data,56.800%,56.775%,56.922%,56.890%,55.970%
Random Forest 95,Original Data,56.800%,56.775%,56.922%,56.890%,56.073%
Random Forest 95,Normalized Data,56.800%,56.775%,56.922%,56.890%,55.970%
Random Forest 99,Original Data,56.800%,56.775%,56.922%,56.890%,56.073%
Random Forest 99,Normalized Data,56.800%,56.775%,56.922%,56.890%,55.970%
Random Forest 95,PCA,56.800%,56.731%,56.807%,56.772%,62.429%
Random Forest 99,PCA,56.800%,56.731%,56.807%,56.772%,62.429%
Support Vector Machine 90,Normalized Data,56.000%,55.898%,55.944%,55.917%,56.112%
Support Vector Machine 90,SelectKBest,56.000%,55.898%,55.944%,55.917%,55.970%
Support Vector Machine 95,Normalized Data,56.000%,55.898%,55.944%,55.917%,56.137%
Support Vector Machine 95,SelectKBest,56.000%,55.898%,55.944%,55.917%,56.022%
Support Vector Machine 99,Normalized Data,56.000%,55.898%,55.944%,55.917%,55.661%
Support Vector Machine 99,SelectKBest,56.000%,55.898%,55.944%,55.917%,56.227%
Support Vector Machine 95,RFECV,55.200%,55.128%,55.198%,55.171%,55.829%
Support Vector Machine 99,RFECV,55.200%,55.128%,55.198%,55.171%,56.485%
Support Vector Machine 99,PCA,53.600%,53.358%,53.358%,53.358%,51.081%
Support Vector Machine 90,RFECV,52.000%,51.849%,51.866%,51.859%,54.220%
Support Vector Machine 95,PCA,49.600%,49.275%,49.279%,49.278%,51.428%
