ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Support Vector Machine 90,Original Data,98.104%,92.171%,86.742%,99.320%,99.754%
Support Vector Machine 90,Normalized Data,98.104%,92.171%,86.742%,99.320%,99.692%
Support Vector Machine 90,SelectKBest,98.104%,92.171%,86.742%,99.320%,99.664%
Support Vector Machine 90,RFECV,98.104%,92.171%,86.742%,99.320%,99.646%
Support Vector Machine 90,PCA,99.052%,96.494%,93.939%,99.656%,99.982%
Support Vector Machine 95,Original Data,98.104%,92.171%,86.742%,99.320%,99.745%
Support Vector Machine 95,Normalized Data,98.104%,92.171%,86.742%,99.320%,99.710%
Support Vector Machine 95,SelectKBest,98.104%,92.171%,86.742%,99.320%,99.646%
Support Vector Machine 95,RFECV,98.104%,92.171%,86.742%,99.320%,99.646%
Support Vector Machine 95,PCA,98.578%,94.186%,89.773%,99.487%,99.644%
Support Vector Machine 99,Original Data,98.104%,92.171%,86.742%,99.320%,99.653%
Support Vector Machine 99,Normalized Data,98.104%,92.171%,86.742%,99.320%,99.692%
Support Vector Machine 99,SelectKBest,98.104%,92.171%,86.742%,99.320%,99.646%
Support Vector Machine 99,RFECV,98.104%,92.171%,86.742%,99.320%,99.646%
Support Vector Machine 99,PCA,98.104%,93.083%,92.456%,94.097%,99.872%
Random Forest 90,Original Data,93.365%,59.939%,53.030%,97.735%,97.963%
Random Forest 90,Normalized Data,93.365%,59.939%,53.030%,97.735%,97.968%
Random Forest 90,SelectKBest,94.787%,72.332%,63.258%,98.194%,96.243%
Random Forest 90,RFECV,94.787%,72.332%,63.258%,98.194%,96.243%
Random Forest 90,PCA,94.313%,68.831%,59.091%,98.039%,94.508%
Random Forest 95,Original Data,93.365%,59.939%,53.030%,97.735%,97.963%
Random Forest 95,Normalized Data,93.365%,59.939%,53.030%,97.735%,97.968%
Random Forest 95,SelectKBest,94.787%,72.332%,63.258%,98.194%,96.243%
Random Forest 95,RFECV,94.787%,72.332%,63.258%,98.194%,96.243%
Random Forest 95,PCA,94.313%,68.283%,57.954%,98.039%,94.209%
Random Forest 99,Original Data,93.365%,59.939%,53.030%,97.735%,97.963%
Random Forest 99,Normalized Data,93.365%,59.939%,53.030%,97.735%,97.968%
Random Forest 99,SelectKBest,94.787%,72.332%,63.258%,98.194%,96.243%
Random Forest 99,RFECV,94.787%,72.332%,63.258%,98.194%,96.243%
Random Forest 99,PCA,94.313%,68.831%,59.091%,98.039%,96.310%
Gradient Boosting 90,Original Data,96.683%,84.837%,76.515%,98.828%,99.059%
Gradient Boosting 90,Normalized Data,95.735%,79.044%,69.318%,98.508%,98.958%
Gradient Boosting 90,SelectKBest,95.261%,76.927%,70.281%,93.738%,94.257%
Gradient Boosting 90,RFECV,95.261%,76.927%,70.281%,93.738%,95.365%
Gradient Boosting 90,PCA,93.365%,59.939%,53.030%,97.735%,92.375%
Gradient Boosting 95,Original Data,94.787%,74.708%,66.114%,91.675%,98.637%
Gradient Boosting 95,Normalized Data,94.787%,72.332%,63.258%,98.194%,98.371%
Gradient Boosting 95,SelectKBest,95.261%,75.906%,66.288%,98.350%,95.401%
Gradient Boosting 95,RFECV,96.209%,81.824%,72.349%,98.667%,96.797%
Gradient Boosting 95,PCA,93.839%,64.720%,56.061%,97.886%,91.134%
Gradient Boosting 99,Original Data,96.209%,82.058%,73.485%,98.667%,99.014%
Gradient Boosting 99,Normalized Data,96.209%,82.058%,73.485%,98.667%,98.729%
Gradient Boosting 99,SelectKBest,95.735%,80.066%,73.311%,93.898%,95.712%
