Session_ID,Student_ID,HRV,Skin_Temperature,Expression_Joy,Expression_Confusion,Steps,Emotion,Engagement_Level,Session_Duration,Learning_Phase,Start_Time,End_Time,Learning_Outcome,HRV_Frequency_Feature,Skin_Temperature_Frequency_Feature,Emotion_Label,Learning_Phase_Label
1,103,-0.17346948933175882,-0.34410399546085,0.49156089921172497,0.9625275158938968,580,Interest,4,32,Practice,2024-12-09 11:53:00,2024-12-09 12:29:00,Successful,7.815970093361102e-13,3.749001109554229e-12,3,2
2,171,0.777402195526748,0.39414487300734957,0.41087319979006176,0.42125126043557704,662,Interest,3,59,Conclusion,2024-12-09 10:54:00,2024-12-09 11:13:00,Unsuccessful,47.843592595902514,59.40980583151715,3,0
3,196,-0.021402849590555603,-3.359162091246012,0.22854537188294455,0.5434083076072673,453,Happiness,3,23,Practice,2024-12-09 11:13:00,2024-12-09 12:10:00,Unsuccessful,8.279332453281825,30.667804065475103,2,2
4,181,0.7037167750514439,-1.5829774118057989,0.08457988502030955,0.4985233998185198,792,Happiness,5,27,Conclusion,2024-12-09 10:06:00,2024-12-09 10:40:00,Unsuccessful,38.83488826006177,8.70933022711299,2,0
5,165,0.5280760831232694,0.4854383950850076,0.2967023280135789,0.6295593953422454,934,Happiness,5,35,Practice,2024-12-09 14:46:00,2024-12-09 15:42:00,Successful,23.074583729519286,13.203920098371144,2,2
6,108,-0.2991022677860644,1.0487270350037707,0.446537089268652,0.98507134807354,526,Interest,4,31,Practice,2024-12-09 12:59:00,2024-12-09 13:25:00,Successful,61.903425564195096,50.517450102711976,3,2
7,129,0.656676337695443,0.30528129853379304,0.0065615566137264825,0.4881112091907248,267,Happiness,5,37,Conclusion,2024-12-09 10:38:00,2024-12-09 11:12:00,Successful,15.126755093753028,33.254504414794795,2,0
8,173,0.24590790182305383,-0.21132582386286905,0.09581716979242838,0.7848291283259351,974,Boredom,1,42,Conclusion,2024-12-09 13:43:00,2024-12-09 14:16:00,Unsuccessful,36.6938219991302,50.24938277324464,0,0
9,111,1.3425782765333236,1.03774771474556,0.9442083723587341,0.29567072686527474,751,Happiness,5,31,Practice,2024-12-09 13:54:00,2024-12-09 14:21:00,Successful,57.13275073136222,23.84553242501938,2,2
10,174,0.5660315369929539,0.34080439531518036,0.6543803842094585,0.08454682689079185,939,Confusion,2,15,Conclusion,2024-12-09 12:51:00,2024-12-09 13:47:00,Unsuccessful,38.8590560592533,25.132478078974575,1,0
